id,name,address,lat,long,star_number,street_id,district_id,province_id
8737,Thanh Hang Guesthouse,"32/16 Hai Ba Trung, Thành phố Huế, Huế, Việt Nam",16.46026157,107.5888278,1,27671.0,275.0,1
8739,Thanh Dinh Guest House,"45/48 Ngo Quyen\n, Thành phố Huế, Huế, Việt Nam",16.45966708,107.5864805,1,27725.0,275.0,1
8918,Hue Spring HomeStay,"64 Lê Lợi, Hue, Thành phố Huế, Huế, Việt Nam 3738",16.47017712,107.5940548,0,27705.0,275.0,1
9703,Pilgrimage Village Boutique Resort & Spa,"Số 130 Minh Mạng, Thành Phố Huế, Thừa Thiên - Huế",16.42589229,107.5787792,5,27709.0,275.0,1
9810,Villa Louise Beach Resort Hue,"0 Phú Thuận, Huyện Phú Vang, Thừa Thiên - Huế",16.54465669,107.6781984,4,33609.0,451.0,1
9869,Khe Sanh HomeStay,53 Nguyen Cong Tru,16.47112347,107.5977533,1,27718.0,275.0,1
9893,Kim's Homestay,35/35 nguyen thai hoc st,16.46812948,107.5975951,0,27738.0,275.0,1
21653,Thanh An 3 Guesthouse,"46/48 Ngo Quyen Street, Thành phố Huế, Huế, Việt Nam",16.46140099,107.58843229999998,1,27725.0,275.0,1
22166,Moon & Sun Hostel,"10/10 Bến Nghé, Thành Phố Huế, Thừa Thiên - Huế",16.46660099,107.5943621,1,27643.0,275.0,1
22199,Khách sạn Hue Smile (Hue Smile Hotel),"175 Bà Triệu, Thành Phố Huế, Thừa Thiên - Huế",16.46224679,107.6001245,3,27647.0,275.0,1
22343,Charming Riverside Hotel,"kiệt 27 , nha so 05 Nguyễn Sinh Cung, Thành phố Huế, Sông Hương, Huế, Việt Nam, 53000",16.474631,107.5952107,0,27734.0,275.0,1
22741,The Scarlett Boutique Hotel,"17/1 Bến Nghé, Thành Phố Huế, Thừa Thiên - Huế",16.467564000000003,107.594606,3,27643.0,275.0,1
22774,Amy Hostel Hue,"22 Tran Cao Van, Thành phố Huế, Huế, Việt Nam, 47000",16.46522544,107.5915039,1,27770.0,275.0,1
23228,Jade Hotel,"43 Hùng Vương, Phú Hội, Thành Phố Huế, Thừa Thiên - Huế",16.46461063,107.59371670000002,2,40.0,275.0,1
23341,Rosaleen Boutique Hotel,"36 Chu Văn An, Thành Phố Huế, Thừa Thiên - Huế",16.46951349,107.5956329,3,27649.0,275.0,1
23411,Khách Sạn EMM Huế (EMM Hotel Hue),"15 Lý Thường Kiệt, Thành Phố Huế, Thừa Thiên - Huế",16.460538800000002,107.5916407,4,27708.0,275.0,1
23418,Hue Amazing Family Homestay,"2/10 Vo Thi Sau street, Thành phố Huế, Huế, Việt Nam 054",16.46885715,107.59530420000002,0,27787.0,275.0,1
