id,name,district_id,province_id
28300,Nam Sông Hậu,669,52
28301,30 Tháng 4,669,52
28302,quốc lộ 1A,384,52
28303,Đinh Tiên Hoàng,692,63
28304,Nam Sông Hậu,342,52
28305,Hoàng Hoa Thám,692,63
28306,Nguyễn Huệ,669,52
28307,Lý Đạo Thành,692,63
28308,Chợ Trà Cú,400,52
28309,Thành Công,692,63
28310,Hùng Vương,400,52
28311,Nguyễn Thái Học,692,63
28312,Trần Phú,692,63
28313,Tỉnh lộ 42,383,52
28314,Hồ Yên Hòa,692,63
28315,Trần Hưng Đạo,692,63
28316,Ga Yên Bái‎,692,63
28317,Hoàng Quốc Việt,692,63
28318,Trường THCS Yên Thịnh,692,63
28319,Trường Cao đẳng Nông Lâm Yên Bái,692,63
28320,Yên Ninh,692,63
28321,Lê Hồng Phong,692,63
28322,Thanh Niên,692,63
28323,Thôn 6,692,63
28324,Chợ Thuận Hòa,113,52
28325,Đồng Tâm,692,63
28326,Yên Bái,692,63
28327,Quảng Trường 19 tháng 8,692,63
28328,Đồi Khí Tượng,692,63
28329,Không tên,625,63
28330,Chu Văn An,213,54
28331,Hai Bà Trưng,213,54
28332,SVĐ Thanh Niên,692,63
28333,23-Thg3,213,54
28334,Lê Lợi,213,54
28335,Lê Thánh Tông,213,54
28336,Hùng Vương,213,54
28337,Điện Biên,692,63
28338,Lý Tự Trọng,213,54
28339,SVĐ Yên Bái,692,63
28340,Quốc lộ 32,370,63
28341,Mạc Thị Bưởi,213,54
28342,Chợ Mường Lò,407,63
28343,Nguyễn Văn Trỗi,213,54
28344,Quang Trung,213,54
28345,Trần Hưng Đạo,213,54
28346,Tôn Đức Thắng,213,54
28347,Bản Công,621,63
28348,Quốc lộ 28,213,54
28349,Buôn Kôp,140,54
28350,Quốc lộ 14,213,54
28351,Lý Thường Kiệt,166,54
28352,Bà Triệu,213,54
28353,Nghĩa Đức,213,54
28354,Nguyễn Tất Thành,166,54
28355,Thác Đray Sap,140,54
28356,Quốc lộ 14,167,54
28357,Vườn Quốc Gia Bù Gia Mập,167,54
28358,Thôn 4 - Cổ Phúc,625,63
28359,Nguyễn Tất Thành,312,54
28360,Nghĩa Thành,213,54
